"","round.name","utcStartTime","local_time","home.team.name","away.team.name","venue.name","venue.location","venue.timezone","Next_round_weather"
"1","Round 24",2025-08-21 09:30:00,"2025-08-21 19:30:00","Essendon","Carlton","M.C.G.","Melbourne","Australia/Melbourne","MOSTLY_SUNNY"
"2","Round 24",2025-08-22 09:10:00,"2025-08-22 19:10:00","Collingwood","Melbourne","M.C.G.","Melbourne","Australia/Melbourne","RAIN"
"3","Round 24",2025-08-22 10:10:00,"2025-08-22 20:10:00","Port Adelaide","Gold Coast","Adelaide Oval","Adelaide","Australia/Adelaide","CLEAR_NIGHT"
"4","Round 24",2025-08-23 03:20:00,"2025-08-23 13:20:00","North Melbourne","Adelaide","Marvel","Melbourne","Australia/Melbourne","CLEAR_NIGHT"
"5","Round 24",2025-08-23 06:15:00,"2025-08-23 16:15:00","Richmond","Geelong","M.C.G.","Melbourne","Australia/Melbourne","SUNNY"
"6","Round 24",2025-08-23 09:35:00,"2025-08-23 19:35:00","West Coast","Sydney","Optus Stadium","Perth","Australia/Perth","OVERCAST"
"7","Round 24",2025-08-24 02:20:00,"2025-08-24 12:20:00","GWS","St Kilda","ENGIE Stadium","Sydney","Australia/Sydney","SUNNY"
"8","Round 24",2025-08-24 05:15:00,"2025-08-24 15:15:00","Footscray","Fremantle","Marvel","Melbourne","Australia/Melbourne","CLEAR_NIGHT"
"9","Round 24",2025-08-24 09:20:00,"2025-08-24 19:20:00","Brisbane Lions","Hawthorn","Gabba","Brisbane","Australia/Brisbane","CLEAR_NIGHT"
"10","Round 24",2025-08-27 09:20:00,"2025-08-27 19:20:00","Gold Coast","Essendon","People First Stadium","Gold Coast","Australia/Brisbane","SUNNY"
